"","screenName","latitude","longitude"
"50","KrishnaDeora",43.66425,6.93484
"389","Soooper_Bakar",19.11631,72.909793
"913","KomalKarelia",19.11527,72.83086
"2427","HarshDarji1916",18.9591882,72.8216323
"2666","mominmkhan",19.081667,72.841389
"3081","VandanJhaveri",18.93,72.82
"3464","tehy11",19.076,72.8777
"4510","immabeshah",19.01996,72.84084
"4746","Fashiongaze1",18.91,72.81
"4798","Fashiongaze1",18.9167,72.8167
"4940","ninjapinto",19.13095841,72.83132947
"5884","KhushrooLal",19.00418069,72.81329821
"6474","_Tanviii_",19.076,72.8777
"6696","savory_tales",19.033,73.0297
"8602","nJJ1",19.02260705,73.05121671
"8972","rajennair",18.75,77.1333
